title,description,category_name,venue,city,start_date,end_date,price,capacity,tags
Python & AI Workshop Saigon,"A hands-on full-day workshop covering Python for data science and AI applications. Topics include NumPy, Pandas, Scikit-learn, neural networks basics, and deploying ML models. Bring your laptop.",Technology,RMIT University Vietnam,Ho Chi Minh City,2026-08-23 09:00:00,2026-08-23 17:00:00,800000,80,python|ai|machinelearning|workshop|datascience|programming|handson|developer|coding
Mobile App Development Bootcamp,"A 3-day intensive bootcamp for aspiring mobile developers. Learn React Native from scratch and build your first cross-platform mobile app. Beginner friendly with experienced mentors.",Technology,Toong Coworking Space,Ho Chi Minh City,2026-09-01 09:00:00,2026-09-03 18:00:00,2500000,40,mobile|reactnative|programming|bootcamp|developer|app|coding|beginner|workshop
Cybersecurity Conference Hanoi,"Annual cybersecurity summit focusing on emerging threats, data protection, ethical hacking, and enterprise security strategies. Featuring CTF competition and live hacking demonstrations.",Technology,InterContinental Hanoi,Hanoi,2026-10-10 08:00:00,2026-10-11 17:00:00,1200000,500,cybersecurity|hacking|security|conference|ctf|networking|enterprise|data
Saigon Food Festival 2026,"A 4-day celebration of Vietnamese and international cuisine featuring over 200 food stalls, cooking demonstrations by celebrity chefs, food competitions, and cultural performances.",Food & Drink,Saigon Exhibition Center,Ho Chi Minh City,2026-10-01 10:00:00,2026-10-04 22:00:00,100000,15000,food|festival|cuisine|vietnamese|cooking|chef|streetfood|culinary|tasting
Wine & Spirits Tasting Evening,"An elegant wine and spirits tasting event featuring premium selections from France, Italy, Spain, and the New World. Expert sommeliers guide you through each tasting with food pairings.",Food & Drink,Hotel des Arts Saigon,Ho Chi Minh City,2026-08-28 18:00:00,2026-08-28 21:00:00,950000,120,wine|tasting|spirits|luxury|food|pairing|elegant|sommelier
Street Food Night Market,"A vibrant night market showcasing the best of Vietnamese street food alongside international favorites. Over 50 vendors, live cooking shows, and traditional music performances.",Food & Drink,Bach Dang Riverside,Da Nang,2026-09-13 17:00:00,2026-09-14 00:00:00,0,3000,streetfood|market|food|vietnamese|outdoor|night|casual|free
Contemporary Art Exhibition,"A major contemporary art exhibition featuring 60+ works from emerging and established Vietnamese and Southeast Asian artists. Mixed media installations, paintings, sculptures, and digital art.",Arts & Culture,Vietnam Fine Arts Museum,Hanoi,2026-09-08 09:00:00,2026-10-08 18:00:00,80000,500,art|exhibition|contemporary|painting|sculpture|installation|culture|museum|gallery
Traditional Water Puppet Show,"Experience the ancient Vietnamese art of water puppetry at the iconic Thang Long Water Puppet Theatre. A UNESCO-recognized cultural heritage performance not to be missed.",Arts & Culture,Thang Long Water Puppet Theatre,Hanoi,2026-08-20 20:00:00,2026-08-20 21:30:00,200000,300,puppet|theater|traditional|culture|heritage|vietnamese|performance|art
Photography Workshop Da Nang,"Learn photography from professional photographers in the scenic city of Da Nang. Covers composition, lighting, street photography, landscape, and photo editing. All camera levels welcome.",Arts & Culture,Da Nang Museum of Cham Sculpture,Da Nang,2026-09-10 07:00:00,2026-09-10 17:00:00,600000,25,photography|workshop|art|creative|danang|landscape|street|editing|camera
Vietnam Startup Summit 2026,"Connect with Vietnam's most innovative startups, venture capitalists, and industry leaders. Featuring pitch competitions, panel discussions, networking sessions, and exclusive deal-making opportunities.",Business & Finance,Gem Center Ho Chi Minh City,Ho Chi Minh City,2026-10-20 08:00:00,2026-10-21 18:00:00,2000000,1000,startup|business|venturecapital|networking|entrepreneur|investment|innovation|pitching|conference
Digital Marketing Masterclass,"A comprehensive digital marketing masterclass covering SEO, social media strategy, content marketing, paid advertising, email marketing, and analytics. Taught by industry practitioners.",Business & Finance,Lotte Hotel Hanoi,Hanoi,2026-08-29 09:00:00,2026-08-29 17:00:00,1800000,60,marketing|digital|seo|socialmedia|advertising|content|analytics|business|workshop
English Communication Skills Workshop,"Build confidence in professional English communication. Topics include business presentation skills, negotiation language, email writing, and public speaking techniques.",Education,British Council Ho Chi Minh City,Ho Chi Minh City,2026-09-15 09:00:00,2026-09-15 17:00:00,1200000,30,english|communication|language|business|presentation|workshop|professional|skills
Data Science with Python Beginner Course,"A beginner-friendly introduction to data science using Python. Learn data manipulation with Pandas, data visualization with Matplotlib, and basic machine learning with Scikit-learn.",Education,FPT Software Academy,Ho Chi Minh City,2026-09-22 09:00:00,2026-09-24 17:00:00,3500000,50,datascience|python|pandas|machinelearning|beginner|course|programming|analytics|education
Stand-Up Comedy Night Saigon,"An evening of laughter featuring Vietnam's funniest stand-up comedians performing original material in both Vietnamese and English. Great night out for all ages.",Entertainment,Cargo Bar Saigon,Ho Chi Minh City,2026-08-21 20:00:00,2026-08-21 22:30:00,250000,200,comedy|standup|entertainment|laughter|funny|performance|english|vietnamese|nightlife
Gaming Tournament Ho Chi Minh City,"A massive gaming tournament featuring League of Legends, Valorant, and FIFA competitions. Open registration for all skill levels with prize pool worth 50 million VND. Casual gaming zone also available.",Entertainment,IndieSpace Gaming Center,Ho Chi Minh City,2026-09-28 10:00:00,2026-09-28 22:00:00,150000,500,gaming|esports|tournament|competition|lol|valorant|fifa|prizes|entertainment
Fansipan Hiking Adventure,"Join an organized group hike to the summit of Fansipan - the Roof of Indochina. Experienced guides with safety equipment provided and accommodation at mountain lodge. Moderate to challenging fitness required.",Travel & Outdoor,Fansipan Cable Car Station,Hanoi,2026-10-05 06:00:00,2026-10-07 16:00:00,3500000,20,hiking|fansipan|adventure|outdoor|mountain|trekking|nature|group|fitness
Mekong Delta Day Tour,"Explore the breathtaking Mekong Delta on a guided day tour. Visit floating markets and traditional villages. Sample local cuisine and travel by boat through scenic waterways. Perfect for nature lovers.",Travel & Outdoor,Ben Thanh Market Meeting Point,Ho Chi Minh City,2026-09-07 07:00:00,2026-09-07 19:00:00,850000,30,mekong|tour|outdoor|nature|boat|market|vietnamese|food|sightseeing|travel
Ba Na Hills Cable Car & Theme Park,"Experience the world-famous Golden Bridge and Fantasy Park at Ba Na Hills. Cable car ride included with access to amusement rides, French Village, and panoramic mountain views.",Travel & Outdoor,Ba Na Hills Cable Car Station,Da Nang,2026-08-17 08:00:00,2026-08-17 18:00:00,750000,200,banahills|themepark|outdoor|goldenbridge|danang|tourism|family|cablecar|views
Fitness & CrossFit Challenge,"A high-intensity fitness competition open to all levels. Workouts designed by certified CrossFit coaches. Includes individual and team events. Post-event protein buffet and awards ceremony.",Health & Wellness,Fit24 Gym Ho Chi Minh City,Ho Chi Minh City,2026-09-27 07:00:00,2026-09-27 15:00:00,350000,150,fitness|crossfit|workout|challenge|gym|competition|health|team|sports|wellness
Mental Health Awareness Seminar,"An important seminar on mental health in the modern workplace. Topics include stress management and burnout prevention, building resilience, and creating supportive work environments.",Health & Wellness,WeWork Ho Chi Minh City,Ho Chi Minh City,2026-09-03 09:00:00,2026-09-03 13:00:00,0,100,mentalhealth|wellness|stress|burnout|workplace|seminar|health|awareness|free
